[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018670s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Tag[ view_filter ] --START--
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Run ContentReplace Behavior [ RunTime:0.000787s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Run TokenBuild Behavior [ RunTime:0.000633s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000485s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Run ShowRuntime Behavior [ RunTime:0.000817s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003143s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Tag[ view_end ] --START--
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Run ShowPageTrace Behavior [ RunTime:0.000632s ]
[ 2015-02-13T10:26:07+08:00 ] /xxx/admin.php/News/look/id/93/author/jingwhale | INFO: Tag[ view_end ] --END-- [ RunTime:0.000746s ]
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | INFO: Tag[ route_check ] --START--
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.005630s ]
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.005890s ]
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | INFO: Tag[ app_begin ] --START--
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001331s ]
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001481s ]
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | SQL: SHOW COLUMNS FROM `think_news` [ RunTime:0.003331s ]
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-02-13T10:26:09+08:00 ] /xxx/admin.php/Index/index/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_news` LIMIT 1   [ RunTime:0.001672s ]
